taxa	hit	family
AT3G25020.1	TAIR10cds.fa	groupC
AT3G24982.1	TAIR10cds.fa	groupD
AT3G25010.2	TAIR10cds.fa	groupB
AT3G25010.1	TAIR10cds.fa	groupB
AT3G24900.2	TAIR10cds.fa	groupE
AT3G24900.1	TAIR10cds.fa	groupE
An-1__9079872_9082475_-1_length2603	pseudoAn-1.fa	groupE
C24__9134106_9136676_-1_length2570	pseudoC24.fa	groupD
C24__9130221_9132776_-1_length2555	pseudoC24.fa	groupA
C24__9145050_9147620_-1_length2570	pseudoC24.fa	groupE
Cvi__9130714_9133320_-1_length2606	pseudoCvi.fa	groupC
Cvi__9124568_9127141_-1_length2573	pseudoCvi.fa	groupB
Cvi__9120697_9122909_-1_length2212	pseudoCvi.fa	groupA
Eri__9113329_9115932_-1_length2603	pseudoEri.fa	groupB
Eri__9109510_9112023_-1_length2513	pseudoEri.fa	groupA
Eri__9120065_9122667_-1_length2602	pseudoEri.fa	groupC
Kyo__9118682_9121285_-1_length2603	pseudoKyo.fa	groupC
Kyo__9112477_9115047_-1_length2570	pseudoKyo.fa	groupD
Kyo__9108630_9111143_-1_length2513	pseudoKyo.fa	groupA
Ler__9157941_9160511_-1_length2570	pseudoLer.fa	groupF
Ler__9154094_9156607_-1_length2513	pseudoLer.fa	groupA
Ler__9165460_9168030_-1_length2570	pseudoLer.fa	groupE
Sha__9123318_9125915_-1_length2597	pseudoSha.fa	groupE
Sha__9135188_9137758_-1_length2570	pseudoSha.fa	groupE
Sha__9128942_9131545_-1_length2603	pseudoSha.fa	groupB
